site: 23234, year: 1974, gap-filled: 5
site: 23234, year: 1984, gap-filled: 2
site: 23234, year: 1986, gap-filled: 3
site: 23273, year: 1961, gap-filled: 2
site: 23273, year: 1962, gap-filled: 3
site: 24011, year: 1970, gap-filled: 1
site: 24011, year: 1973, gap-filled: 7
site: 24011, year: 1975, gap-filled: 3
site: 24011, year: 1976, gap-filled: 14
site: 24011, year: 1983, gap-filled: 3
site: 24011, year: 1984, gap-filled: 3
site: 24011, year: 1986, gap-filled: 3
site: 24011, year: 1987, gap-filled: 3
site: 24018, year: 1967, gap-filled: 1
site: 24018, year: 1969, gap-filled: 1
site: 24018, year: 1977, gap-filled: 1
site: 24018, year: 1986, gap-filled: 1
site: 24021, year: 1962, gap-filled: 3
site: 24021, year: 1964, gap-filled: 2
site: 24021, year: 1979, gap-filled: 1
site: 24021, year: 1980, gap-filled: 6
site: 24021, year: 1982, gap-filled: 1
site: 24021, year: 1988, gap-filled: 4
site: 24021, year: 1990, gap-filled: 6
site: 24023, year: 1962, gap-filled: 1
site: 24023, year: 1963, gap-filled: 3
site: 24023, year: 1973, gap-filled: 12
site: 24023, year: 1974, gap-filled: 7
site: 24023, year: 1975, gap-filled: 3
site: 24023, year: 1979, gap-filled: 4
site: 24027, year: 1984, gap-filled: 3
site: 24027, year: 1987, gap-filled: 2
site: 24028, year: 1975, gap-filled: 2
site: 24028, year: 1982, gap-filled: 1
site: 24028, year: 1987, gap-filled: 1
site: 24028, year: 1988, gap-filled: 3
site: 24029, year: 1963, gap-filled: 3
site: 24033, year: 1961, gap-filled: 9
site: 24033, year: 1962, gap-filled: 3
site: 24033, year: 1979, gap-filled: 239
site: 24033, year: 1988, gap-filled: 3
site: 24033, year: 1989, gap-filled: 2
site: 24089, year: 1962, gap-filled: 2
site: 24089, year: 1988, gap-filled: 1
site: 24090, year: 1964, gap-filled: 2
site: 24090, year: 1984, gap-filled: 4
site: 24090, year: 1986, gap-filled: 4
site: 24090, year: 1988, gap-filled: 9
site: 24121, year: 1962, gap-filled: 1
site: 24127, year: 1963, gap-filled: 1
site: 24127, year: 1966, gap-filled: 2
site: 24127, year: 1969, gap-filled: 1
site: 24127, year: 1971, gap-filled: 1
site: 24127, year: 1975, gap-filled: 8
site: 24127, year: 1979, gap-filled: 2
site: 24127, year: 1986, gap-filled: 3
site: 24127, year: 1989, gap-filled: 1
site: 24128, year: 1981, gap-filled: 2
site: 24128, year: 1986, gap-filled: 3
site: 24131, year: 1961, gap-filled: 2
site: 24131, year: 1974, gap-filled: 1
site: 24131, year: 1978, gap-filled: 10
site: 24131, year: 1981, gap-filled: 1
site: 24131, year: 1988, gap-filled: 3
site: 24131, year: 1990, gap-filled: 3
site: 24143, year: 1962, gap-filled: 1
site: 24143, year: 1977, gap-filled: 1
site: 24143, year: 1980, gap-filled: 3
site: 24143, year: 1981, gap-filled: 1
site: 24143, year: 1982, gap-filled: 3
site: 24143, year: 1984, gap-filled: 3
site: 24143, year: 1985, gap-filled: 1
site: 24144, year: 1961, gap-filled: 4
site: 24144, year: 1963, gap-filled: 4
site: 24144, year: 1984, gap-filled: 6
site: 24146, year: 1982, gap-filled: 1
site: 24146, year: 1989, gap-filled: 3
site: 24153, year: 1962, gap-filled: 3
site: 24153, year: 1963, gap-filled: 3
site: 24153, year: 1984, gap-filled: 1
site: 24153, year: 1985, gap-filled: 6
site: 24155, year: 1974, gap-filled: 1
site: 24155, year: 1986, gap-filled: 6
site: 24155, year: 1989, gap-filled: 1
site: 24156, year: 1961, gap-filled: 1
site: 24156, year: 1963, gap-filled: 8
site: 24156, year: 1982, gap-filled: 4
site: 24156, year: 1983, gap-filled: 1
site: 24156, year: 1984, gap-filled: 3
site: 24156, year: 1985, gap-filled: 5
site: 24157, year: 1962, gap-filled: 3
site: 24157, year: 1974, gap-filled: 2
site: 24157, year: 1984, gap-filled: 3
site: 24157, year: 1986, gap-filled: 3
site: 24157, year: 1987, gap-filled: 3
